Column1;Column2;Column3
;;
t;x;y
1.216666667E0;-2.934569121E2;-2.883729245E2
1.225000000E0;-2.921124222E2;-2.889376788E2
1.233333333E0;-2.903911759E2;-2.892747297E2
1.241666667E0;-2.880639451E2;-2.901807201E2
1.250000000E0;-2.855207997E2;-2.903563631E2
1.258333333E0;-2.817294060E2;-2.917727146E2
1.266666667E0;-2.789238479E2;-2.921572892E2
1.275000000E0;-2.751491700E2;-2.926237871E2
1.283333333E0;-2.713408914E2;-2.931784896E2
1.291666667E0;-2.671553438E2;-2.941697469E2
1.300000000E0;-2.635850842E2;-2.945584855E2
1.308333333E0;-2.589885368E2;-2.955187690E2
1.316666667E0;-2.553104056E2;-2.961390772E2
1.325000000E0;-2.512026574E2;-2.975741769E2
1.333333333E0;-2.471395441E2;-2.981966314E2
1.341666667E0;-2.419776492E2;-2.997501512E2
1.350000000E0;-2.373060177E2;-3.003970064E2
1.358333333E0;-2.372688048E2;-3.003804746E2
1.366666667E0;-2.318635468E2;-3.011039734E2
1.375000000E0;-2.258824034E2;-3.024646586E2
1.383333333E0;-2.191226600E2;-3.035425812E2
1.391666667E0;-2.124984663E2;-3.051138108E2
1.400000000E0;-2.058299009E2;-3.058383270E2
1.408333333E0;-1.985390606E2;-3.075797658E2
1.416666667E0;-1.912458292E2;-3.090432971E2
1.425000000E0;-1.838722528E2;-3.099942860E2
1.433333333E0;-1.758100687E2;-3.111923400E2
1.441666667E0;-1.677882064E2;-3.128750064E2
1.450000000E0;-1.600244964E2;-3.138028792E2
1.458333333E0;-1.518145256E2;-3.153087845E2
1.466666667E0;-1.422949187E2;-3.170143549E2
1.475000000E0;-1.341979289E2;-3.184521345E2
1.483333333E0;-1.241195895E2;-3.198551673E2
1.491666667E0;-1.145559091E2;-3.217833211E2
1.500000000E0;-1.046917086E2;-3.236641528E2
1.508333333E0;-9.461835988E1;-3.256709662E2
1.516666667E0;-8.424724459E1;-3.271824315E2
1.525000000E0;-7.438306424E1;-3.287315622E2
1.533333333E0;-6.424052480E1;-3.296746655E2
1.541666667E0;-5.420770072E1;-3.313574567E2
1.550000000E0;-4.398001964E1;-3.326365929E2
1.558333333E0;-3.351027899E1;-3.344122759E2
1.566666667E0;-2.284402025E1;-3.354050877E2
1.575000000E0;-1.180921977E1;-3.370212815E2
1.583333333E0;-3.994961723E-1;-3.386324770E2
1.591666667E0;1.162267352E1;-3.404400715E2
1.600000000E0;2.283315736E1;-3.416310572E2
1.608333333E0;3.467951746E1;-3.433660550E2
1.616666667E0;4.699342421E1;-3.451757144E2
1.625000000E0;5.865643246E1;-3.464414415E2
1.633333333E0;7.061524798E1;-3.484359209E2
1.641666667E0;8.259574875E1;-3.503378988E2
1.650000000E0;9.378186517E1;-3.516730367E2
1.658333333E0;1.057114182E2;-3.531151297E2
1.666666667E0;1.169607195E2;-3.541857409E2
1.675000000E0;1.286539410E2;-3.554644377E2
1.683333333E0;1.402521248E2;-3.559894320E2
1.691666667E0;1.527620943E2;-3.579166438E2
1.700000000E0;1.650407116E2;-3.582236682E2
1.708333333E0;1.778703697E2;-3.594185207E2
1.716666667E0;1.910259840E2;-3.610501917E2
1.725000000E0;2.044794932E2;-3.627704110E2
1.733333333E0;2.184666189E2;-3.647081411E2
1.741666667E0;2.309557199E2;-3.645347599E2
1.750000000E0;2.447076381E2;-3.666889608E2
1.758333333E0;2.569252232E2;-3.661320826E2
1.766666667E0;2.711353677E2;-3.700022761E2
1.775000000E0;2.827913204E2;-3.685797743E2
1.783333333E0;2.948323600E2;-3.695647702E2
1.791666667E0;3.066797319E2;-3.693709970E2
1.800000000E0;3.187333661E2;-3.697042494E2
1.808333333E0;3.308985048E2;-3.706928009E2
1.816666667E0;3.431260840E2;-3.714181595E2
1.825000000E0;3.567356089E2;-3.730012810E2
1.833333333E0;3.690431052E2;-3.733107947E2
1.841666667E0;3.825626978E2;-3.749419522E2
1.850000000E0;3.948875943E2;-3.738758712E2
1.858333333E0;4.086174760E2;-3.752986359E2
1.866666667E0;4.204837996E2;-3.748014141E2
1.875000000E0;4.325672519E2;-3.746858016E2
1.883333333E0;4.446991530E2;-3.743220327E2
